agbd,rh98,lat,lon,NDVI,EVI,NDMI,NBR,SAVI,B02_Blue,B04_Red,B08_NIR,B11_SWIR1,B12_SWIR2
156.48566,27.63,10.70611054766743,92.4269098751704,0.7965132,0.5839152,0.32820314,0.6112019,0.5192243,0.0359,0.0391,0.3452,0.1746,0.0833
120.5262,24.75,10.706944586942484,92.42752753266463,0.8146198,0.5519017,0.2811726,0.5835672,0.49631825,0.0318,0.0317,0.3103,0.1741,0.0816
64.60651,17.52,10.707358889000663,92.42783527408159,0.8218289,0.54961526,0.2784103,0.58277804,0.498093,0.0297,0.0302,0.3088,0.1743,0.0814
175.98653,27.89,10.707775978439846,92.4281441092562,0.8131833,0.5191049,0.26974407,0.56526434,0.47610044,0.0288,0.0299,0.2902,0.1669,0.0806
157.1753,32.72,10.708188949047603,92.42845130931781,0.80006075,0.527296,0.24062827,0.5359087,0.4763599,0.0327,0.0329,0.2962,0.1813,0.0895
210.21513,29.65,10.708605225395061,92.42875980937018,0.7695625,0.500561,0.24140911,0.5240117,0.45440215,0.0352,0.0374,0.2872,0.1755,0.0897
149.5818,31.75,10.709023496339135,92.4290690917455,0.76600444,0.48967826,0.25055832,0.53382635,0.44590625,0.035,0.0371,0.28,0.1678,0.0851
236.55276,34.44,10.709440970893896,92.42937805446088,0.82321376,0.5835368,0.3338843,0.61926264,0.51194245,0.0349,0.0313,0.3228,0.1612,0.0759
209.32533,28.68,10.709856239744415,92.42968614060102,0.8328742,0.5527342,0.28996122,0.5853852,0.49370998,0.031,0.0273,0.2994,0.1648,0.0783
81.6284,16.69,10.710273621664944,92.42999505825573,0.80563223,0.58141387,0.26352397,0.56347114,0.5076548,0.0378,0.0352,0.327,0.1906,0.0913
254.11754,46.01,10.710688974878558,92.43030317069795,0.74446625,0.53091156,0.22559056,0.54147065,0.46510684,0.0445,0.0456,0.3113,0.1967,0.0926
301.96155,37.29,10.711106762343725,92.43061224219737,0.8007224,0.5364201,0.24728942,0.5553822,0.479452,0.0344,0.0331,0.2991,0.1805,0.0855
166.2605,43.58,10.71193848430396,92.43122885349987,0.8316327,0.5411462,0.22031015,0.5411859,0.48082596,0.0321,0.0264,0.2872,0.1835,0.0855
41.41427,13.06,10.712354216082307,92.43153709589936,0.85194606,0.6576467,0.31955773,0.63118976,0.56247896,0.0354,0.0291,0.364,0.1877,0.0823
219.7796,39.39,10.712771134977938,92.43184577803221,0.7674141,0.517436,0.28104007,0.58117145,0.46141404,0.0385,0.0389,0.2956,0.1659,0.0783
152.34818,25.83,10.713188129894588,92.43215448784665,0.815091,0.5658151,0.29654884,0.59653723,0.49078178,0.0377,0.031,0.3043,0.1651,0.0769
127.780624,27.4,10.714020116623969,92.4327711083768,0.78168136,0.5142174,0.22810814,0.5231966,0.4565218,0.0375,0.0348,0.284,0.1785,0.0889
94.56984,19.8,10.714435186430817,92.43307905028419,0.7728632,0.5311807,0.26996362,0.5622861,0.46477363,0.041,0.038,0.2966,0.1705,0.0831
120.729774,20.93,10.714849638000643,92.43338674573222,0.72253203,0.4575666,0.20403484,0.4844545,0.41054788,0.0417,0.0423,0.2626,0.1736,0.0912
15.835941,6.21,10.715263722158811,92.43369429409974,0.7460402,0.54997027,0.25705448,0.5434267,0.477765,0.0461,0.0473,0.3252,0.1922,0.0962
195.65135,29.99,10.715683558406749,92.43400411445357,0.7614785,0.51846176,0.27909416,0.55731434,0.46738747,0.0375,0.0413,0.305,0.1719,0.0867
123.100876,20.96,10.716102069978044,92.43431340963645,0.79415494,0.51279944,0.24514991,0.533949,0.46023563,0.0344,0.0324,0.2824,0.1712,0.0858
146.73318,27.55,10.71652012732158,92.43462252361022,0.8222223,0.5143285,0.24040024,0.5346962,0.45520505,0.0338,0.026,0.2665,0.1632,0.0808
336.6122,36.43,10.7169359760683,92.43493076285098,0.8077269,0.54933196,0.27073687,0.57146573,0.48513013,0.0356,0.0321,0.3018,0.1732,0.0823
90.1704,20.44,10.717353559237536,92.43523968661086,0.8079687,0.5104399,0.22450785,0.5373508,0.4603076,0.0322,0.0294,0.2768,0.1753,0.0833
124.716156,28.75,10.717768185724374,92.4355474400807,0.80743754,0.6070006,0.32437477,0.60180587,0.53271335,0.0368,0.0378,0.3548,0.181,0.0882
165.87186,27.18,10.718186339982937,92.4358565870211,0.8253589,0.54962564,0.23813388,0.5476674,0.49616495,0.03,0.0292,0.3052,0.1878,0.0892
117.57636,19.24,10.71860064846125,92.43616421269293,0.8275463,0.57161134,0.25019795,0.5723176,0.5073321,0.0325,0.0298,0.3158,0.1894,0.0859
249.82457,44.78,10.719017971446322,92.4364730289213,0.78355885,0.59933144,0.29187864,0.5940479,0.5108548,0.0448,0.0416,0.3428,0.1879,0.0873
168.8744,36.2,10.71943418586338,92.43678140610592,0.8177215,0.5208627,0.25305408,0.55959815,0.47500002,0.0293,0.0288,0.2872,0.1712,0.0811
231.58786,28.86,10.719849760338139,92.43708952950949,0.8220721,0.5840234,0.29491794,0.5921279,0.5121609,0.0351,0.0316,0.3236,0.1762,0.0829
174.49869,31.52,10.720266888561657,92.43739826654445,0.8205345,0.5829337,0.3103867,0.6075509,0.5114553,0.0352,0.0319,0.3236,0.1703,0.079
145.60301,29.65,10.720680974846845,92.43770580028217,0.8429585,0.64071465,0.34070387,0.63395464,0.55789006,0.0335,0.031,0.3638,0.1789,0.0815
98.82949,17.18,10.721100475785288,92.4380154740761,0.7980478,0.48741883,0.25694117,0.56886935,0.4461799,0.0308,0.03,0.2671,0.1579,0.0734
448.96573,40.36,10.721516225002977,92.43832366382267,0.77431417,0.50230527,0.25098902,0.5496869,0.45394737,0.0354,0.0362,0.2846,0.1704,0.0827
170.84396,28.41,10.721931157330804,92.4386315294044,0.82628566,0.5815402,0.29105228,0.60643375,0.5103529,0.0345,0.0304,0.3196,0.1755,0.0783
110.624405,38.26,10.722348228607832,92.438940239451,0.8078184,0.6243664,0.2743111,0.5695204,0.53591746,0.0406,0.0381,0.3584,0.2041,0.0983
382.0561,40.7,10.72276385654991,92.43924837753644,0.7951106,0.5420205,0.26783144,0.55247927,0.48577523,0.0346,0.0352,0.3084,0.1781,0.0889
212.31961,35.15,10.723180443794652,92.43955689313182,0.826114,0.5371181,0.2556246,0.547399,0.48440734,0.0302,0.0279,0.293,0.1737,0.0857
94.65619,18.01,10.723596548912205,92.43986521646981,0.83633393,0.44400036,0.16480666,0.50452566,0.41187534,0.0258,0.02,0.2244,0.1609,0.0739
171.26242,24.18,10.724010599839783,92.44017272556877,0.78011936,0.4669105,0.23399076,0.54371,0.4245571,0.0336,0.0313,0.2534,0.1573,0.0749
117.91171,24.11,10.724428201028683,92.44048163659112,0.7842004,0.4983063,0.2324756,0.5480635,0.45144194,0.0339,0.0336,0.2778,0.173,0.0811
101.87277,22.16,10.724841334923854,92.4407887787466,0.73699707,0.46618944,0.21067035,0.5263007,0.41944894,0.0398,0.0402,0.2655,0.1731,0.0824
137.62848,20.51,10.725254639543433,92.44109598591704,0.73487383,0.48401952,0.24043475,0.5526531,0.4373869,0.0398,0.0436,0.2853,0.1747,0.0822
112.701195,21.26,10.725670920008344,92.4414043673118,0.7249283,0.47256356,0.22634679,0.52878106,0.41954306,0.0434,0.0432,0.2709,0.1709,0.0835
